Orthogroup	acastellanii_braker	vvermcdc19_braker
OG0000193	acastellanii_g4136.t1, acastellanii_g4188.t1, acastellanii_g8975.t1, acastellanii_g3359.t1, acastellanii_g8593.t1, acastellanii_g8306.t1, acastellanii_g2588.t1, acastellanii_g5855.t1, acastellanii_g7861.t1, acastellanii_g102.t1, acastellanii_g9509.t1, acastellanii_g9582.t1, acastellanii_g9580.t4, acastellanii_g9580.t1, acastellanii_g9580.t3, acastellanii_g9580.t2, acastellanii_g2986.t1	vverm_g4298.t1
OG0000193	acastellanii_g13271.t1	vverm_g3265.t2, vverm_g3265.t1
OG0000194	acastellanii_g5200.t1	vverm_g8300.t1
OG0000195	acastellanii_g4908.t1	vverm_g5928.t1, vverm_g5928.t2, vverm_g16260.t1, vverm_g11571.t1, vverm_g6221.t1, vverm_g15102.t1, vverm_g13912.t1, vverm_g13915.t1, vverm_g13914.t1
OG0000205	acastellanii_g9954.t1	vverm_g2563.t1
OG0000205	acastellanii_g10686.t1	vverm_g13016.t1
OG0000205	acastellanii_g4180.t1, acastellanii_g3116.t1, acastellanii_g10497.t1	vverm_g6793.t1
OG0000206	acastellanii_g9263.t1, acastellanii_g6455.t1, acastellanii_g4515.t1, acastellanii_g5986.t1, acastellanii_g5508.t1, acastellanii_g9262.t1	vverm_g9973.t1, vverm_g11149.t1, vverm_g9032.t1, vverm_g11147.t1, vverm_g11148.t1, vverm_g12068.t2, vverm_g12068.t1, vverm_g13895.t1, vverm_g6746.t1, vverm_g7847.t1, vverm_g9031.t1, vverm_g250.t1, vverm_g257.t1
OG0000223	acastellanii_g7378.t1, acastellanii_g13174.t1, acastellanii_g9591.t1	vverm_g3851.t1, vverm_g16053.t1, vverm_g8646.t1, vverm_g2639.t1, vverm_g2432.t1
OG0000224	acastellanii_g12501.t1, acastellanii_g6420.t1, acastellanii_g6420.t2	vverm_g15095.t1
OG0000224	acastellanii_g2119.t1, acastellanii_g12413.t1, acastellanii_g12412.t1, acastellanii_g12724.t1, acastellanii_g12431.t1, acastellanii_g9528.t1, acastellanii_g7302.t1, acastellanii_g1709.t1, acastellanii_g7213.t1, acastellanii_g3000.t1	vverm_g9888.t1
OG0000226	acastellanii_g10506.t1, acastellanii_g10506.t2	vverm_g11657.t1
OG0000226	acastellanii_g12477.t1	vverm_g13694.t1, vverm_g7520.t1, vverm_g3696.t1, vverm_g9738.t1, vverm_g3510.t1, vverm_g4084.t1
OG0000226	acastellanii_g3777.t1	vverm_g9737.t2, vverm_g9737.t1
OG0000227	acastellanii_g2323.t1, acastellanii_g6551.t2	vverm_g106.t3
OG0000227	acastellanii_g9824.t1, acastellanii_g10591.t1, acastellanii_g7092.t1	vverm_g7505.t1, vverm_g15296.t1, vverm_g13770.t1, vverm_g10944.t1, vverm_g12447.t1
OG0000229	acastellanii_g3986.t1, acastellanii_g3986.t2	vverm_g11186.t1, vverm_g15344.t2, vverm_g15344.t1, vverm_g14531.t1, vverm_g12419.t1
OG0000230	acastellanii_g3924.t1	vverm_g7166.t1, vverm_g15996.t1, vverm_g7647.t1
OG0000231	acastellanii_g3079.t2, acastellanii_g3079.t1, acastellanii_g3075.t1	vverm_g8295.t1, vverm_g8295.t2, vverm_g411.t1, vverm_g9959.t1
OG0000232	acastellanii_g2850.t1	vverm_g6198.t1, vverm_g6198.t2, vverm_g5688.t1, vverm_g1316.t1
OG0000248	acastellanii_g12983.t1	vverm_g1753.t1, vverm_g3532.t1, vverm_g12293.t1, vverm_g12294.t1, vverm_g9290.t1
OG0000249	acastellanii_g1901.t1, acastellanii_g9656.t1, acastellanii_g2595.t1, acastellanii_g3921.t1	vverm_g6960.t1
