Orthogroup	Duplications (all)	Duplications (50% support)
OG0001079	9	9
OG0001080	9	9
OG0001081	9	9
OG0001082	9	9
OG0001083	9	9
OG0001084	9	9
OG0001085	9	9
OG0001086	9	9
OG0001087	9	9
OG0001088	9	9
OG0001089	9	9
OG0001090	9	9
OG0001091	9	9
OG0001092	9	9
OG0001093	9	9
OG0001094	9	9
OG0001095	9	9
OG0001096	2	2
OG0001097	3	3
OG0001098	2	2
OG0001099	2	2
OG0001100	4	4
OG0001101	4	4
OG0001102	4	4
OG0001103	4	4
OG0001104	4	4
OG0001105	4	4
OG0001106	4	4
OG0001107	3	3
OG0001108	3	2
OG0001109	3	3
OG0001110	3	3
OG0001111	4	4
OG0001112	4	3
OG0001113	4	3
OG0001114	2	2
OG0001115	4	4
OG0001116	5	5
OG0001117	6	6
OG0001118	3	3
OG0001119	4	4
OG0001120	8	8
OG0001121	3	3
OG0001122	6	5
OG0001123	3	3
OG0001124	3	2
OG0001125	3	3
OG0001126	4	4
OG0001127	8	8
OG0001128	3	3
OG0001129	3	3
OG0001130	4	4
OG0001131	1	1
OG0001132	3	3
OG0001133	2	2
OG0001134	3	3
OG0001135	5	5
OG0001136	3	3
OG0001137	3	3
OG0001138	5	4
OG0001139	2	2
OG0001140	4	4
OG0001141	6	6
OG0001142	3	3
OG0001143	5	5
OG0001144	3	2
OG0001145	3	2
OG0001146	3	2
OG0001147	2	2
OG0001148	4	4
OG0001149	4	4
OG0001150	3	3
OG0001151	3	3
OG0001152	6	6
OG0001153	3	3
OG0001154	4	4
OG0001155	3	2
OG0001156	2	2
OG0001157	3	3
OG0001158	3	3
OG0001159	7	7
OG0001160	4	4
OG0001161	4	4
OG0001162	2	2
OG0001163	3	2
OG0001164	5	5
OG0001165	4	4
OG0001166	2	2
OG0001167	2	2
OG0001168	3	3
OG0001169	4	4
OG0001170	2	2
OG0001171	4	4
OG0001172	4	4
OG0001173	3	3
OG0001174	1	1
OG0001175	3	2
OG0001176	4	4
OG0001177	4	4
OG0001178	4	4
OG0001179	3	2
OG0001180	4	4
OG0001181	4	4
OG0001182	6	6
OG0001183	4	1
OG0001184	3	3
OG0001185	2	2
OG0001186	3	3
OG0001187	3	3
OG0001188	3	3
OG0001189	3	3
OG0001190	8	8
OG0001191	5	5
OG0001192	4	4
OG0001193	2	2
OG0001194	4	4
OG0001195	4	4
OG0001196	3	2
OG0001197	4	3
OG0001198	6	6
OG0001199	4	4
OG0001200	4	4
OG0001201	3	3
OG0001202	4	4
OG0001203	4	4
OG0001204	8	8
OG0001205	3	3
OG0001206	4	4
OG0001207	5	5
OG0001208	3	3
OG0001209	3	3
OG0001210	3	1
OG0001211	3	1
OG0001212	4	4
OG0001213	5	5
OG0001214	3	3
OG0001215	6	6
OG0001216	4	4
OG0001217	4	4
OG0001218	3	3
OG0001219	4	4
OG0001220	4	4
OG0001221	2	1
OG0001222	4	4
OG0001223	2	2
OG0001224	4	4
OG0001225	4	4
OG0001226	3	2
OG0001227	4	4
OG0001228	1	1
OG0001229	2	2
OG0001230	5	5
OG0001231	8	8
OG0001232	1	1
OG0001233	4	4
OG0001234	4	4
OG0001235	2	2
OG0001236	3	3
OG0001237	3	3
OG0001238	3	3
OG0001239	2	2
OG0001240	4	4
OG0001241	4	4
OG0001242	4	4
OG0001243	2	2
OG0001244	4	4
OG0001245	3	3
OG0001246	4	4
OG0001247	5	5
OG0001248	4	4
